epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,21493.6,1.12521,2.22344,0.05493,0.61146,0.45926,0.49621,0.35008,1.01478,1.78921,0.06579,0.00985235,0.00328412,0.00985235,0.00328412,0.00985235,0.00328412,0.00985235,0.00328412
103,21704.9,1.12522,2.22009,0.05489,0.61508,0.45737,0.49684,0.35025,1.01492,1.78832,0.06581,0.0097895,0.00326317,0.0097895,0.00326317,0.0097895,0.00326317,0.0097895,0.00326317
104,21916.3,1.12039,2.22697,0.05514,0.61872,0.45568,0.49711,0.35066,1.01555,1.7865,0.06585,0.00972665,0.00324222,0.00972665,0.00324222,0.00972665,0.00324222,0.00972665,0.00324222
105,22127.4,1.12782,2.22297,0.05491,0.60981,0.45965,0.49689,0.35049,1.01456,1.78793,0.06572,0.0096638,0.00322127,0.0096638,0.00322127,0.0096638,0.00322127,0.0096638,0.00322127
106,22340,1.1262,2.21466,0.05419,0.61106,0.45966,0.49725,0.35075,1.01401,1.78837,0.06567,0.00960095,0.00320032,0.00960095,0.00320032,0.00960095,0.00320032,0.00960095,0.00320032
107,22548.8,1.12622,2.217,0.05467,0.61401,0.45809,0.49695,0.35044,1.01396,1.78801,0.06563,0.00953811,0.00317937,0.00953811,0.00317937,0.00953811,0.00317937,0.00953811,0.00317937
108,22758.2,1.13671,2.21919,0.05456,0.61874,0.45776,0.49765,0.3509,1.01423,1.78693,0.06562,0.00947526,0.00315842,0.00947526,0.00315842,0.00947526,0.00315842,0.00947526,0.00315842
109,22968.2,1.12877,2.21671,0.05425,0.61488,0.4584,0.49782,0.35093,1.01403,1.78657,0.06563,0.00941241,0.00313747,0.00941241,0.00313747,0.00941241,0.00313747,0.00941241,0.00313747
110,23179.4,1.12876,2.21185,0.0546,0.616,0.45794,0.49808,0.35092,1.01375,1.7868,0.06563,0.00934956,0.00311652,0.00934956,0.00311652,0.00934956,0.00311652,0.00934956,0.00311652
111,23391.3,1.13358,2.22633,0.05434,0.61398,0.45948,0.49801,0.35092,1.01314,1.78675,0.06558,0.00928671,0.00309557,0.00928671,0.00309557,0.00928671,0.00309557,0.00928671,0.00309557
112,23600.9,1.13072,2.20654,0.0549,0.61856,0.45698,0.49729,0.3506,1.01318,1.78602,0.06559,0.00922386,0.00307462,0.00922386,0.00307462,0.00922386,0.00307462,0.00922386,0.00307462
113,23811,1.12738,2.21352,0.05477,0.61595,0.45864,0.49689,0.3506,1.0118,1.78712,0.06544,0.00916102,0.00305367,0.00916102,0.00305367,0.00916102,0.00305367,0.00916102,0.00305367
114,24022.2,1.13435,2.223,0.05398,0.61367,0.4588,0.49701,0.35087,1.01221,1.78598,0.06547,0.00909817,0.00303272,0.00909817,0.00303272,0.00909817,0.00303272,0.00909817,0.00303272
115,24233.4,1.13261,2.22304,0.05451,0.61058,0.46039,0.49739,0.35117,1.01228,1.78431,0.06547,0.00903532,0.00301177,0.00903532,0.00301177,0.00903532,0.00301177,0.00903532,0.00301177
116,24443.7,1.13351,2.19871,0.0545,0.61065,0.46306,0.49754,0.35145,1.01226,1.78298,0.06547,0.00897247,0.00299082,0.00897247,0.00299082,0.00897247,0.00299082,0.00897247,0.00299082
117,24654.6,1.12205,2.19887,0.05488,0.61304,0.46234,0.49828,0.35141,1.01224,1.78239,0.06551,0.00890962,0.00296987,0.00890962,0.00296987,0.00890962,0.00296987,0.00890962,0.00296987
118,24863.8,1.12373,2.20148,0.0544,0.61359,0.46413,0.4987,0.35169,1.01243,1.781,0.06552,0.00884678,0.00294893,0.00884678,0.00294893,0.00884678,0.00294893,0.00884678,0.00294893
119,25075,1.134,2.20614,0.05378,0.61122,0.46446,0.49856,0.35203,1.01252,1.77963,0.06558,0.00878393,0.00292798,0.00878393,0.00292798,0.00878393,0.00292798,0.00878393,0.00292798
120,25286.5,1.1261,2.18703,0.05425,0.60521,0.46895,0.49921,0.35245,1.01262,1.77842,0.06562,0.00872108,0.00290703,0.00872108,0.00290703,0.00872108,0.00290703,0.00872108,0.00290703
121,25497.9,1.1171,2.19161,0.05409,0.60193,0.47052,0.49969,0.35286,1.01264,1.77759,0.06559,0.00865823,0.00288608,0.00865823,0.00288608,0.00865823,0.00288608,0.00865823,0.00288608
122,25711.4,1.12884,2.20656,0.05445,0.60871,0.46814,0.50018,0.35327,1.01257,1.77566,0.0656,0.00859538,0.00286513,0.00859538,0.00286513,0.00859538,0.00286513,0.00859538,0.00286513
123,25920.4,1.12358,2.19297,0.05452,0.60836,0.46908,0.50005,0.35343,1.01233,1.77465,0.06558,0.00853254,0.00284418,0.00853254,0.00284418,0.00853254,0.00284418,0.00853254,0.00284418
124,26131.7,1.12759,2.20199,0.05456,0.61423,0.46582,0.50011,0.35343,1.01181,1.77409,0.06551,0.00846969,0.00282323,0.00846969,0.00282323,0.00846969,0.00282323,0.00846969,0.00282323
125,26342.1,1.12026,2.18324,0.05433,0.61466,0.46556,0.50043,0.35352,1.01105,1.7737,0.0654,0.00840684,0.00280228,0.00840684,0.00280228,0.00840684,0.00280228,0.00840684,0.00280228
126,26552.8,1.12805,2.19147,0.05358,0.60998,0.46694,0.50083,0.35399,1.01076,1.77233,0.06539,0.00834399,0.00278133,0.00834399,0.00278133,0.00834399,0.00278133,0.00834399,0.00278133
127,26763.2,1.11689,2.18651,0.05418,0.62315,0.46253,0.50104,0.35392,1.01105,1.77081,0.06551,0.00828114,0.00276038,0.00828114,0.00276038,0.00828114,0.00276038,0.00828114,0.00276038
128,26972.8,1.12661,2.19647,0.05418,0.62,0.46469,0.50139,0.3543,1.00993,1.77085,0.06541,0.0082183,0.00273943,0.0082183,0.00273943,0.0082183,0.00273943,0.0082183,0.00273943
