epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,64749.8,1.47204,2.11897,0.01043,0.56057,0.39061,0.41919,0.29063,1.379,1.79452,0.01275,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,65793.1,1.46961,2.10373,0.01045,0.55932,0.39335,0.42086,0.2918,1.37739,1.7898,0.01273,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,66867.6,1.46859,2.11679,0.01042,0.56064,0.39259,0.42175,0.29242,1.37508,1.78746,0.01269,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,67915.5,1.4741,2.10476,0.01048,0.56831,0.39231,0.42345,0.29387,1.37341,1.78363,0.01267,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,68988.8,1.46146,2.08768,0.01041,0.56037,0.39607,0.42395,0.29428,1.3728,1.77903,0.01266,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,70084.1,1.46507,2.09662,0.01036,0.56256,0.39738,0.42578,0.29543,1.37094,1.77724,0.01262,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,71128.4,1.46236,2.08061,0.01029,0.55447,0.40342,0.42691,0.29649,1.37001,1.77173,0.01261,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,72171.4,1.44444,2.08997,0.0104,0.55381,0.40706,0.42843,0.29779,1.36944,1.7679,0.01262,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,73206.9,1.46389,2.07814,0.01021,0.55909,0.40542,0.42923,0.29813,1.36933,1.76554,0.01262,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,74255.9,1.44634,2.05791,0.01021,0.56624,0.40247,0.42986,0.29917,1.36836,1.76112,0.01262,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,75312.4,1.44541,2.063,0.01031,0.56934,0.40263,0.43076,0.3001,1.36608,1.7591,0.01257,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,76371.7,1.44895,2.06446,0.01014,0.57354,0.40328,0.43215,0.30094,1.36519,1.75586,0.01256,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,77438.4,1.43275,2.02742,0.01018,0.56927,0.40462,0.43296,0.30154,1.36439,1.75229,0.01253,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,78521.2,1.44007,2.02342,0.01014,0.56622,0.40763,0.434,0.30204,1.36476,1.74668,0.01254,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,79573.5,1.43523,2.0193,0.01008,0.56007,0.41357,0.4351,0.30302,1.36279,1.74391,0.01252,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,80635.2,1.43508,2.01261,0.00996,0.55957,0.41439,0.43656,0.30387,1.36276,1.74175,0.01252,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,81738.1,1.43002,2.01893,0.01002,0.5651,0.4139,0.43829,0.30495,1.36034,1.7397,0.01249,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,82834.2,1.43673,2.01208,0.00999,0.56451,0.41577,0.43941,0.30605,1.35997,1.73364,0.01248,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,83845.5,1.42392,1.99254,0.00989,0.57051,0.41607,0.44075,0.30736,1.35737,1.72982,0.01243,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,84861.9,1.42557,1.98038,0.00986,0.57529,0.41433,0.44153,0.30787,1.35659,1.72656,0.01242,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,85881.5,1.42464,1.98748,0.00993,0.57422,0.41725,0.44274,0.30861,1.3547,1.72407,0.0124,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,86898.3,1.41786,1.98404,0.00977,0.58174,0.41464,0.44431,0.30971,1.35334,1.72091,0.01237,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,87904.2,1.41108,1.96205,0.00979,0.58193,0.41576,0.44506,0.31033,1.35247,1.71757,0.01237,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,88918.1,1.41398,1.95845,0.00975,0.58323,0.4168,0.44611,0.3112,1.35059,1.71375,0.01233,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,89923.7,1.40814,1.95053,0.00974,0.58512,0.41651,0.44683,0.31212,1.34989,1.70947,0.01231,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,90932.2,1.40803,1.93797,0.00957,0.58409,0.41983,0.449,0.31324,1.34845,1.70591,0.0123,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,91941.9,1.39363,1.92912,0.00956,0.57942,0.42169,0.44941,0.31383,1.34862,1.70249,0.0123,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,92945.9,1.40072,1.91638,0.00951,0.57805,0.42141,0.45004,0.31453,1.34676,1.70031,0.01227,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,93952.7,1.39048,1.90838,0.00943,0.58162,0.42377,0.4514,0.31558,1.34545,1.69705,0.01224,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,94938.3,1.37325,1.75272,0.01192,0.5843,0.4253,0.45284,0.31692,1.34398,1.69421,0.0122,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,95918,1.36472,1.72198,0.01169,0.58291,0.42697,0.45329,0.3175,1.3437,1.69109,0.0122,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,96900.2,1.35721,1.69428,0.01157,0.59106,0.42408,0.4548,0.31851,1.3432,1.68915,0.01218,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,97880.9,1.353,1.68613,0.01168,0.59086,0.42548,0.45589,0.31962,1.34294,1.68485,0.01217,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,98863.8,1.33877,1.65352,0.01142,0.5934,0.42563,0.45681,0.32056,1.34197,1.68442,0.01212,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,99839.3,1.33777,1.65408,0.01126,0.59441,0.42708,0.45765,0.32135,1.34241,1.68131,0.01212,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,100818,1.33819,1.63096,0.01113,0.59399,0.42702,0.4585,0.32191,1.34154,1.67949,0.01211,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,101798,1.31766,1.61217,0.01103,0.60061,0.42538,0.45955,0.32239,1.34123,1.67785,0.01212,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,102788,1.30876,1.58982,0.01085,0.59962,0.42775,0.46046,0.32287,1.34164,1.67497,0.01212,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,103765,1.30974,1.58212,0.01085,0.6052,0.42628,0.46075,0.32311,1.34142,1.67319,0.01212,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
